,model,scenario,member,tas_2050,od550aer_2050,tas_2100,od550aer_2100,co2_2050,co2_2100,so2_2050,so2_2100,ch4_2050,ch4_2100
37,CanESM5,ssp126,r3i1p2f1,1.0061408942211187,-0.01885316592896144,0.8024574497116532,-0.046787731876682934,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
38,CanESM5,ssp126,r4i1p1f1,0.9026679338190888,-0.032309908360900266,0.8779637125762747,-0.03259842217477725,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
39,CanESM5,ssp126,r4i1p2f1,0.9997685369000919,-0.02442502148314521,0.9774726414897827,-0.055081317589628184,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
40,CanESM5,ssp126,r5i1p1f1,1.107408352591392,-0.02939085248662819,0.9152793585997756,-0.043552430579714155,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
41,CanESM5,ssp126,r5i1p2f1,1.0671517197373532,-0.014079097584186129,0.7636911172734813,-0.038010673873809214,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
42,CanESM5,ssp126,r6i1p1f1,0.9191106864564631,-0.026212998669172344,0.8508996411526368,-0.024036610343513926,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
43,CanESM5,ssp126,r6i1p2f1,1.0652228202714582,-0.04477594770467788,0.7863341968591158,-0.03441797186175147,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
44,CanESM5,ssp126,r7i1p1f1,1.0386910496241057,-0.03008763082844483,1.1162002836446163,-0.04659385532318268,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
45,CanESM5,ssp126,r7i1p2f1,0.8430163042536378,-0.033078064389817335,0.980454360036731,-0.040218549003825,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
46,CanESM5,ssp126,r8i1p1f1,1.0409602242175424,-0.03223363209948758,0.8484412504129182,-0.03586167849295732,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
47,CanESM5,ssp126,r8i1p2f1,0.8050677309702223,-0.03264241148406305,0.7949227637436707,-0.04274430043986199,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
48,CanESM5,ssp126,r9i1p1f1,0.9758353388756404,-0.04288933393833076,0.979776775391656,-0.056028467635442517,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
49,CanESM5,ssp126,r9i1p2f1,1.0712267456401605,-0.027190833690457925,0.9661453177145063,-0.04295692466957965,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
50,ACCESS-ESM1-5,ssp126,r1i1p1f1,0.9117842491620536,-0.015582131481032449,0.9901665937288726,-0.015582915609459846,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
51,ACCESS-ESM1-5,ssp126,r2i1p1f1,0.5425537342359235,-0.012358568887114035,0.836081071899514,-0.017335617661382613,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
52,ACCESS-ESM1-5,ssp126,r3i1p1f1,1.0053750647028323,-0.013899079537827416,1.0776948641047852,-0.014765116398348821,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
53,ACCESS-CM2,ssp126,r1i1p1f1,1.000582082797223,-0.025191049415559552,1.4071981204287454,-0.03855228502943096,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
54,MPI-ESM1-2-HR,ssp126,r1i1p1f1,0.383866501378634,-0.009665647546102232,0.45721793266898203,-0.014087668361836017,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
